year,month,revenue,prev_month_revenue,growth_pct
2023,9,151135.6,,
2023,10,262502.74,151135.6,73.69
2023,11,240286.91,262502.74,-8.46
2023,12,255617.03,240286.91,6.38
2024,1,217766.09,255617.03,-14.81
2024,2,228013.98,217766.09,4.71
2024,3,248176.28,228013.98,8.84
2024,4,265596.66,248176.28,7.02
2024,5,264875.23,265596.66,-0.27
2024,6,234155.38,264875.23,-11.6
2024,7,253369.4,234155.38,8.21
2024,8,212613.2,253369.4,-16.09
2024,9,218873.9,212613.2,2.94
2024,10,258931.27,218873.9,18.3
2024,11,250572.04,258931.27,-3.23
2024,12,278154.19,250572.04,11.01
2025,1,224390.21,278154.19,-19.33
2025,2,215338.19,224390.21,-4.03
2025,3,239346.81,215338.19,11.15
2025,4,263024.03,239346.81,9.89
2025,5,248527.46,263024.03,-5.51
2025,6,248776.28,248527.46,0.1
2025,7,249593.5,248776.28,0.33
2025,8,243808.5,249593.5,-2.32
2025,9,91848.17,243808.5,-62.33
