year,month,total_sales,order_count
2023,9,151135.6,876
2023,10,262502.74,1468
2023,11,240286.91,1385
2023,12,255617.03,1499
2024,1,217766.09,1386
2024,2,228013.98,1358
2024,3,248176.28,1423
2024,4,265596.66,1436
2024,5,264875.23,1427
2024,6,234155.38,1381
2024,7,253369.4,1501
2024,8,212613.2,1378
2024,9,218873.9,1418
2024,10,258931.27,1482
2024,11,250572.04,1474
2024,12,278154.19,1469
2025,1,224390.21,1442
2025,2,215338.19,1337
2025,3,239346.81,1481
2025,4,263024.03,1431
2025,5,248527.46,1494
2025,6,248776.28,1430
2025,7,249593.5,1471
2025,8,243808.5,1498
2025,9,91848.17,555
